ref,date,riskRating,category,location,details
SCA14.0844,2014-10-01,Information,INFORMATION,RPC3,"ON 30/09/2014 [REDACTED] ADVISED HIS CM OF THE FOLLOWING INFORMATION: ON 29/09/2014 [REDACTED] WAS TAKEN TO IHMS AT OPC3 AT 2000HRS BY FRIENDS AFTER HE HAD ""FALLEN"" IN CAMP FOLLOWING 3 DAYS OF NOT EATING. [REDACTED] REPORTS HE WAS MADE TO LEAVE IHMS CLINIC WITHOUT BEING GIVEN ANY FOOD, WATER OR MEDICATION, AFTER HIS LIP STITCHES WERE REMOVED. [REDACTED] ALSO REPORTED THAT THERE WAS CONFUSION ABOUT WHY HE WAS NOT TRANSFERED TO OPC1 AT THIS 2000HRS STAGE AND STATES THAT THE IHMS BOSS SAID HE WASN'T LETTING [REDACTED] GO TO OPC1. 20 MINS LATER [REDACTED] RETUNRED TO IHMS AS HE ""FELL OVER"" AGAIN AND WAS TRANFERRED TO OPC1. [REDACTED] REPORTS HE WAS FEELING UNWELL AFTER HIS INITIAL DISCHARGE FROM OPC3 IHMS CLINIC AND FEELS HE SHOULD NOT HAVE BEEN DISCHARGES. HIS CM HAS ENCOURAGES [REDACTED] TO USE THE USUAL CHANNELS FOR COMPLAINTS."
SCA14.0845,2014-10-01,Information,INFORMATION,RPC3,"DETAIL OF INFORMATION:
 ON 30/09/2015 [REDACTED] REPORTED TO THIS CM AND ARABIC INTERPRETER THAT AT HIS MOST RECENT DENTAL APPOINT (SPECIFIC DATE AND LOCATION UNKNOWN) IN NAURU HE WAS TOLD BY THE DENTIST (THROUGH AND INTERPRETER) THAT HE WOULD NOT DO ANY WORK UNTIL HE WAS PAID AS THE AUS GOVEN HAD NOT PAID HIM. [REDACTED] REPORTS ONGOING DENTAL PROBLEMS."
SCA14.0865,2014-10-04,Minor,SElf-Harm THREAT,RPC3,"ON 3/10/2014 [REDACTED] STATED TO THIS CM ""IF ONE PERSON GOES TO CAMBODIA, I WILL KILL MYSELF. EVERY WILL KILL THEMSELVED"". [REDACTED] REPORTED THAT HIS OPINION OF THE MOOD IN THE CAMP IS ""WORSE"" THEN IT HAS BEEN PREVIOUSLY. [REDACTED] REPORTED THAT HE WILL CONTINUE TO PARTICIPATE IN PEACEFUL PROTESTS AT NIGHT IN THE CAMP."
SCA14.0867,2014-10-05,Minor,,,"[REDACTED] reported to case manager that [REDACTED] stated ""is she going to be my friend"". [REDACTED] has taken this to think that this means [REDACTED] wants to touch her sexually. [REDACTED] says she does not feel safe in the camp because of these comments by [REDACTED]."
SCA14.0873,2014-10-06,Minor,,,[REDACTED] told his case manager that he wanted to kill himself by taking a pill but he didn‰Û¡ÌÝå»t have one. He said would cut his wrists or swallow washing powder but feared this would take too long.
SCA14.0884,2014-10-07,Information,INFORMATION,"RPC3, PLAYGROUND",ON 6/10/2014 AT APPROX 17:00 [REDACTED] WAS SITTING WITH HIS CASE MANAGER WHEN A MALE A/S WALKED PAST WEARING A WHITE T-SHIRT WITH WRITING ON THE BACK TO THE EFFECT ' WE DID THIS FOR THE KIDS' CM ASKED [REDACTED] WITH THE T-SHIRT SAID AND [REDACTED] STATED IT WAS ABOUT 'SACRIFICE' AND THEN PROCEEDED TO TELL A STORY ABOUT A MOVIE WHERE THERE WAS A SACRIFICE
SCA14.0894,2014-10-08,Minor,,,"[REDACTED] stated that CSO [REDACTED] would not let him return to the Infants area despite him coming from there. He said CSO then lifted the table so he fell to the floor, smacked his hand and pushed him away. He said he then swore at CSO and threw rocks at her, bit did not push her."
SCA14.0903,2014-10-09,Information,MISBEHAVIOUR,RPC3 Area 9,"[REDACTED] and [REDACTED] stated that people who occupy tent 76 have locked away the mircrowave in area 9 and hidden the key, inhibiting them to cook the food for the baby. They are concerned that this will cause arguments in the future. The key and locker have since been placed with Wilsons security and this is more fair."
SCA14.0913,2014-10-10,Information,Threat to damage property,RPC3 Playground area,"[REDACTED] stated that he was angrey with DIBPs options for resettlement, Nauru & Cambodia. He stated that if he was put into Nauru community he would burn it down."
SCA14.1057,2014-11-10,Minor,,,THREAT OF SELF HARM OF HIM AND HIS FAMILY
SCA14.1111,2014-11-26,Minor,INFORMATION,RCP3 Area 1,[REDACTED] REPORTED THAT A CONVERSATION WITH CULTURAL ADVISER (WILSONS) HAS UPSET HER AND SHE IS CONCERNED FOR HER TEENAGE SON
SCA14.1127,2014-11-30,Minor,,,Threat to self harm if request to return to Australia for medical treatment was not met
SCA14.1128,2014-11-30,Minor,,,[REDACTED] stated he was very angry and could not guarantee that he would not harm himself or others.
SCA14.1208,2014-12-22,Minor,,,"[REDACTED] STATED TO CM THAT SHE WAS APPROACHED BY A REFUGEE THAT SAID ""IF YOU COME OUT (IN THE COMMUNITY) I WILL FIX YOU UP"". [REDACTED] FEELS UNSAFE IF SHE WAS TO BE RESETTLED IN NAURU AND WANTS TO BE REUNITED WITH NEPHEW WHO IS IN DARWIN FOR MEDICAL PURPOSES"
SCA14.1233,2014-12-31,Minor,,RPC1,"DURING CASE MANAGEMENT DISCUSSION WITH [REDACTED] HE REPORTED THE FOLLOWING CONCERNS IN RELATION TO POSSIBLY BEING RESETTLED AS A REFUGEE INTO THE NAURU COMMUNITY;
 - [REDACTED] REPORTED THAT HE DOES NOT WANT TO LIVE IN THE NAURU COMMUNITY EXPLAINING THAT HE HAS FEAR FOR HIS SAFETY AND IN PARTICULAR FEAR FOR HIS MOTHERS [REDACTED] SAFETY AND HE WOULD NEED TO PROTECT HER.
 - [REDACTED] REPORTED THAT HE WOULD NOT ACCEPT A POSITIVE RSD AND WOULD INSTEAD CHOOSE TO STAY IN THE NAURU RPC3. [REDACTED] REPORTED THAT HE AND HIS MOTHER [REDACTED] BOTH THINK THIS"
SCA14.0325,2014-06-23,Information,,,"[REDACTED] was aggressive in class. When asked why, he told the teacher that his mother is on a hunger strike. The hunger strike is affecting the child - he says he is having bad dreams and needs his mother."
SCA14.0760,2014-09-22,Minor,,,Primary children were waiting for bus and pushing each other. [REDACTED] anf [REDACTED] hear arranging to have a fight after school. Teacher explained this was unacceptable.
SCA14.0297,2014-06-13,Minor,,,[REDACTED] in classroom at Nauru College discussing religion. Wilsons Guard joined conversation and imparted own views about God and religion to the child.
SCA14.0586,2014-08-12,Major,,,"[REDACTED] fainted. She is 7 months pregnant. Further assistance called, and a stretcher brought. Removed to IHMS"
SCA14.0772,2014-09-26,Minor,,,[REDACTED] had received a negative hand down earlier in the day. [REDACTED] stated that he told guard he gives us 10 days to do something about his daughter's rash or he would kill himself and his children.
SCA14.0783,2014-09-27,Minor,,,[REDACTED] threatened to kill himself and his children to staff after receiving his negative hand down.
SCA14.0784,2014-09-27,Information,Concern for minor raised,RPC3,"Yesterday [REDACTED] and his child [REDACTED] and [REDACTED] received a negative hand down. [REDACTED] yesterday made threats to kills himself and the children, which has previously been IR by save staff.
 I attend the tent to check on [REDACTED], I was unable to attend with an interpreter and attended with co-worker [REDACTED]. [REDACTED] appeared to be in a calmer state and was responding positively to both his children. He how stated (which was translated through his friend [REDACTED]) that [REDACTED] is son yesterday was crying and stated that he wanted to kill himself. This is in reponse to the negative hand down and current mood in the camp. No further information was provided. [REDACTED] has been sighted today numerous times by myself, despite presenting as sad there is no other signs of current distress."
SCA14.0793,2014-09-28,Minor,,,Parents told staff that they would kill themselves and their children.
SCA14.0811,2014-09-29,Minor,,,[REDACTED] told his case worker that he hasn‰Û¡ÌÝå»t been eating much and would stop eating all together.
SCA14.1043,2014-11-03,Information,,,CM PASS [REDACTED] AND HE ADVISED THAT HIS ID CARD BROKE AND HIS FATHER WOULD HIT HIM. CM WALKED [REDACTED] TO HIS TENT AND SKOKE TO HIS FATHER WHEICH DID NOT SEEM UPSET
SCA14.1103,2014-11-24,Minor,THREAT OF HARM,RPC3,"[REDACTED] HEARD RUMORS OR OTHER KEEPING MEDICATIONS FOR THE DAY THAT TPV'S ARE ANNOUNCED. HE STATED IF IT WENT AGAINST THEM SOME PLANNED TO COMMIT SUICIDE, NO NAMES WHERE PROVIDED"
SCA14.1107,2014-11-25,Minor,THEFT,RPC3,[REDACTED] HAS REQUEST 2 MATTRESS AS A COUPLE OF MONTHS AGO HIS WAS STOLEN BUT DIDN‰Û¡ÌÝå»T WANT TO REPORT IT AT THE TIME. HE IS NOT AWARE OF WHO MAY HAVE STOLEN THEM.
SCA14.1123,2014-11-29,Minor,,,"[REDACTED] statd that if he does not receive treatment he will leave his daughter at IHMS until she is treated. If she doesn't get treated, he will kill her and himself."
SCA14.1124,2014-11-29,Minor,,,Clients stated that a Nauruan guard threw rocks at them and said she would hit them with a stick.
SCA14.1125,2014-11-29,Minor,,,"[REDACTED] stated that when guards walk her back to her tent, he father will hit her"
SCA14.1192,2014-12-16,Minor,,,CM WAS HAVING DISCUSSIONS WITH [REDACTED] AROUND THE EVENTS OF THE PAST WEEK. HE STATED HE WOULD NOT HARM HIS CHILDREN BUT WOULD KILL HIMSELF. HE DID NOT WANT TO DISCUSS THIS FURTHER AND BECOME SLIGHTLY HEATED.
SCA14.1195,2014-12-17,Minor,,,CSPW ATTENDED REC TENT. [REDACTED] PRESENTED AS FEARFUL AND UPSET STATING HE WAS SCARED TO GO HOME AS HIS OLDER BROTHER [REDACTED] WOULD HIT HIM.
SCA14.0284,2014-06-09,Information,Fighting,,"I was walking towards tent 43 in area 3 and observed [REDACTED] (SCA) and [REDACTED] and [REDACTED] speaking in the hallway of tent 43. I observed [REDACTED] and [REDACTED]had their voices raised and it was observed that [REDACTED] was crying and was upset that [REDACTED] appeared angry and was yelling at [REDACTED] and waving a piece of paper around over her head. I do not clearly recall exactly the words that were exchanged between [REDACTED] and [REDACTED]; howver, I do recall that it was in relation to [REDACTED] wanting to change room and [REDACTED] explaining that he and his family could not change rooms. I observed that [REDACTED] was standing and watching [REDACTED] and [REDACTED] argument."
SCA14.1162,2014-12-07,Major,,,Evan came to the door of my classroom with [REDACTED] and [REDACTED] who were visibly upset. Evan explained the had come to school to speak with The Red Cross. [REDACTED] and [REDACTED] were both crying and stated they would not be moving from area9 to area1 and if anyone forced us to move she will hurt herself. [REDACTED] was interpreting for [REDACTED] therefore [REDACTED] stated the same. Throughout the conversation [REDACTED] stated that if they were forced to move that her and her daughters will kill themselves and they will be dead. [REDACTED] stated that her and her family will not eat and they will hurt themselves.
SCA14.1170,2014-12-09,Major,,,CW [REDACTED] received an email alerting her that her client [REDACTED] was threatening to self harm if moved to area 1. Complaint from [REDACTED] stating the same 14C\2450
SCA14.0925,2014-10-13,Information,N/A,NAURU COLLEGE,ASYLUM SEEKER WAS CAUGHT GETTING HIS PHOTO TAKEN BY A REFUGEE CHILD. SECURITY DELETED THE PHOTO.
SCA14.0600,2014-08-16,Major,,,Writer spoke with client about general wellbeing and his non-eating. He stated he had not been drinking water. He refused all offered. Minimal response.
SCA14.0601,2014-08-16,Major,,,"[REDACTED] approached writer and showed his middle finger, showing that it was blue and swollen. CSO invited to examine. Think it was sea urchin sting. Client was taken via ambulance to IHMS, accompanied by writer. Finger was cut open for examination."
SCA14.0470,2014-07-18,Information,,,[REDACTED] (minor) expressed thoughts of suicide to SCA Case Worker
SCA14.0491,2014-07-22,Minor,,,[REDACTED] expressed suicidal thoughts to SCA caseworker
SCA14.0522,2014-07-28,Information,,,[REDACTED] disclosed to SCA worker that she has suicidal thoughts but doesn‰Û¡ÌÝå»t know how to kill herself
SCA14.0535,2014-07-30,Information,,,Client [REDACTED] (minor) expressed thoughts of suicide to SCA Case Worker
SCA14.0539,2014-07-30,,,,"SCA witnessed a mother carrying a small child who was crying and distressed, a male tried to take the child from the mother and she wouldn‰Û¡ÌÝå»t hand over the child. Security assisted the female."
