ref,date,reclassified,"riskRating",category,details
SCA15.0011,6/1/2015,YES,MAJOR,,SCA STAFF [REDACTED 1] WAS TALKING WITH [REDACTED 2] AT SCHOOL WHEN SHE TOLD YASMIN SHE WAS NOT TAKING HER MEDICATION ANYMORE. [REDACTED 1] SPOKE TO [REDACTED 2] ABOUT THE CONSEQUENCES OF NOT TAKING HER MEDICATION. [REDACTED 2] STATED SHE DOES NOT CARE. [REDACTED 2] SAID SHE WILL DIE AND SHE DOES NOT CARE ABOUT ANYTHING ANYMORE. [REDACTED 2] WENT BACK TO CLASS AND HER SISTERS [REDACTED 3] AND [REDACTED 4] SAT WITH SCA STAFF [REDACTED 1] AND TOLD HER THEY ARE WORRIED ABOUT [REDACTED 2] AS SHE HASN'T TAKEN HER MEDICATION IN 4 DAYS. [REDACTED 3] TOLD SCA [REDACTED 1] KEEPS TELLING HER SHE WANTS TO DIE AND HATESNAURU. NB: RISK RATING AND INCIDENT TYPE CHANGED BY WILSONS
SCA15.0012,6/1/2015,NO,MAJOR,Self-Harm Threat,"DURING A GENERAL CM DISCUSSION [REDACTED 1] REPORTED THAT HE IS HOPING TO BE RELEASED FROM NAURU RPC WITHIN 1 MONTH. [REDACTED 1] STATED ""IF I AM NOT OUT ON 1 MONTH YOU CAN GET ME A TOMB"" CM TRIED TO GET FURTHER CLARIFICATION( ASKING ""WHAT DO YOU MEAN BY A TOMB"") HOWEVER [REDACTED 1] ONLY RE-ITERATED ""YES, A TOMB"". [REDACTED 1] REPORTED HIS PLANS FOR TONIGHT WERE TO ATTEND RECREATION ACTIVITIES WITHA A FRIEND, [REDACTED 1] PRESENTED GENERALLY IN A POSITIVE MOOD, THEREFORE CM DID NOT HAVE CONCERNS FOR IMMEDIATE RISK OF SELF HARM HOWEVER ONGOING MONITORING OF [REDACTED 1]S MENTAL STATE WILL OCCUR FROM CM"
SCA15.0013,6/1/2015,NO,MINOR,,AT 16:30 DURING RECREATION [REDACTED 1] AND [REDACTED 2] HAD A VERBAL ALTERCATION OVER TABLE TENNIS. THIS ESCALATED TO BOTH BOYS SHOVING EACH OTHER. SCA INTERVENED AND SEPERATED THE BOYS. AT THIS POINT [REDACTED 2]'S FATHER ARRIVED AND SUPPORTED SCA STAFF IN DEESCALATING THE SITUATION AND TAKING [REDACTED 2] ASIDE. TWO MINUTES LATER [REDACTED 2] PUSHED [REDACTED 3] IN THE BACK WHICH STARTED A PHYSICAL ALTERCATION BETWEEN THE TWO. SCA STAFF INTERVENED ALONG WITH [REDACTED 2]'S FATHER WHO REMOVED [REDACTED 2] FROM THE SITUATION
SCA15.0014,7/1/2015,YES,MINOR,Abusive / Aggressive Behaviour,ON 6/1/15 AT 15:45 [REDACTED 1] INFORMED HIE CM THAT PRIOR TO SAVE THE CHILDREN STAFF ARRIVING AT THE PLAYGROUND [REDACTED 2] HAD PUNCHED HIM IN THE FACE. OTHER CHILDREN (6-9 YRS) ID'S UNKNOWN WERE PRESENT AT THE TIME AND STATED [REDACTED 2] HAD FOUGHT WITH THEM AT THE SAME TIME. [REDACTED 1] DID NOT HAVE ANY OBSERVABLE INJURIES. CM SPOKE WITH [REDACTED 2] ABOUT THE INCIDENT WHO INFORMED CM THERE HAD BEEN A FIGHT BETWEEN ALL THE CHILDREN IN THE PLAYGROUND PRIOR TH STC STAFF ARRIVING AND STSTED SHE WAS NOT GOING TO APPOLOGISE FOR HITTING . CM SPOKE WITH [REDACTED 2] ABOUT THE RULES OF NOT HITTING AND BEING SAFE AND RESPONSIBLE FOR HER WORDS AND ACTIONS. CM SPOKE WITH [REDACTED 1] FATHER [REDACTED 3] ABOUT THE INCIDENT. NOTE: ON ARRIVAL AT THE PLAYGROUND AT 15:00HRS. IT WAS OBSERVED THERE WERE 3 LOCAL WILSONS GUARDS PRESENT IN THE PLAYGROUND SITTING IN THE PLAY EQUIPTMENT. THEY MAY HAS OBSERVED THE INCIDENT. NOTE: WILSONS HAVE RE-CLASSIFIED THIS REPORT.
SCA15.0015,7/1/2015,NO,MINOR,Antisocial Behaviour,"ON 7/1/15 AT 17:30 [REDACTED](IVL023) STATED TO STC CM LAURA THAT SHE WAS EXTREMELY ANGRY ABOUT AN INCIDENT WITH A WILSONS SECURITY STAFF MEMBER ON 6/1/15 APPROX 21:00. [REDACTED 1] STATED SHE HAD WASHED HER SHEETS/BLANKETS ON 6/1/15 AND THEN WENT TO AREA 1 TO USE THE DRYERS WITH HER FRIEND [REDACTED 2]. [REDACTED 1] STATED SHE KNEW IT WAS AFTER CURFEW BUT A NUMBER OF OTHER A/S NOT FROM AREA 1 WERE WALKING IN AND OUT OF AREA 1 SO SHE THOUGHT THIS WOULD NOT BE AN ISSUE. [REDACTED 1] STATED WHILE USING THE DRYES WSO [REDACTED 3] APPROACHED AND TOLD HER TO LEAVE THE AREA. [REDACTED 1] REPLIED ""NO, I WANT TO FINISH DRYING MY CLOTHES"", WSO ASKED [REDACTED 1] AGAIN TO LEAVE, [REDACTED 1] RESPONDED"" NO, WHAT ABOUT ALL THE OTHER PEOPLE HERE WHO DON'T LIVE IN AREA 1"" WSO RESPONDED ""I DON'T CARE ABOUT THE OTHERS"" [REDACTED 1] REPLIED ""SHUTUP"" AND TOOK HER CLOTHES AND LEFT. [REDACTED 1] ADVISED SHE INFORMED WHISKEY 3 OF THE INCIDENT AFTER IT OCCURRED AND FILLED IN A COMPLAINT FORM."
SCA15.0016,7/1/2015,NO,MINOR,Threat of harm,"ON 7/1/15 AT 17:30 [REDACTED 1] STATED TO STC CM [REDACTED 2] THAT SHE WAS EXTREMELY ANGRY ABOUT AN INCIDENT WITH A WILSONS SECURITY STAFF MEMBER ON 6/1/15 APPROX 21:00. [REDACTED 1] STATED THAT ACOMMENT MADE NY A WSO MADE HER SO ANGRY THAT SHE DEVELOPED ASTHMA AND FELT LIKE COMMITTING SUICIDE. [REDACTED 1]'S FRIENDS FORCED HER TO USE HER INHALER TO CONTROL HER ASTHMA, SHE THEN THREW ALL HER INHALERS IN THE BIN WITH THE INTENTION NOT TO USE THEM ANYMORE SHOULD SHE HAVE AN ASTHMA ATTACK. [REDACTED 1] STATED SHE WANTED TO KILL HERSELF BY SUFFOCATING. [REDACTED 1]'S FRIENDS RETREIVED HER INHALERS FROM THE BIN. [REDACTED 1] STATED HER FRIENDS ALSO SLEPT IN HER ROOM LAST NIGHT AS THEY WERE AFRAID SHE WOULD SELF HARM. [REDACTED 1] STATED SHE IS STILL VERY ANGRY AND STILL HAS SOME THOUGHTS OF SUICIDE AND IF SHE HAS AN ASTHMA ATTACK TONIGHT SHE WIOULD STILL CHOOSE NOT TO USE HER INHALER. CM SPOKE WITH [REDACTED 1] ABOUT STRATEGIES FOR MANAGING HER FEELINGS OF ANGER AND MAINTAINING HER SAFETY. [REDACTED 1] REQUESTED A MENTAL HEALTH APPOINTMENT FOR THE 7/1/15 AND STATED SHE HAS BEEN LISTENING TO FARSI RELAXATION MUSIC TO HELP HER CALM DOWN. [REDACTED 1]'S FRIENDS WOULD AGIN SLEEP IN HER ROOM TONIGHT."
SCA15.0017,7/1/2015,NO,MINOR,Antisocial Behaviour,"ON 7/1/15 AT 18:20 STC [REDACTED 1] ENTERED THE WILSONS SECURITY TENT TO SUBMIT AN IR REPORT REGARDING A THREAT OF SELF HARM BY [REDACTED] (IVL023). CM [REDACTED 1] HANDED THE IR TO COMMAND 4 WHO READ THROUGH THE REPORT . WHILE READING THE REPORT COMMAND 4 ASKED ""WHEN WAS THIS?"" CM EXPLAINED ""AT THE TIME AND DATE ON THE IR"" COMMAND 4 CONTINUED READING THEN SAID"" SO SHE'S THREATEBEN SUICIDE NOW"" AND ASKED ABOUT THE COMMENT THE IR WAS DETAILING. COMMAND 4 STATED "" WE ALREADY KNOW WHAT THIS IS ABOUT"" ANOTHER WSO APPROACHED COMMAND 4 AND CM AND ASKED IF THIS WAS ABOUT [REDACTED 2], COMMAND 4 STATED ""YES"". THE WSO STATED "" WE ALREADY KNOW ABOUT THIS AND THAT OFFICER DIDN'T SAY THAT"". [REDACTED 2] IS ONLY SAYING THIS BECAUSE SHE'S ANNOYED SHE HAD TO LEAVE THE AREA. THERE ARE WITNESSES. CM QUERIED"" DON'T YOU HAVE TO DO AN ACTUAL INVESTIGATION FIRST?, [REDACTED 2] SAYS SHE HAS A WITNESS ALSO"". THE WSO REPLIED"" OH , HER FRIEND SEEMA"" WHILE LOOKING AT THE OTHER OFFICERS. CM STATED "" I DON'T KNOW WHAT HAPPENED, I AM JUST SUBMITTING AN IR ABOUT WHAT I HAVE BEEN TOLD"". WSO THEN ASKED"" SO YOU BELIEVE HER THEN"" CM REPLIED I DON'T KNOW, I AM JUST SUBMITTING A REPORT ABOUT WHAT I WAS TOLD"". CM DISENGAGED FROM THE CONVERSATION. COMMAND 4 THEN STATED ""WELL SHE [REDACTED 2] CAN GO ON HIGH WATCH THEN. CM EXITED THE TENT."
SCA15.0018,7/1/2015,NO,MINOR,Accident / Injury,"DURING RECREATION SESSION [REDACTED 1] WAS PLAYING WITH THE LEGO BOX PUSHING IT ALONG THE FLOOR, HE HIT AN UNEVEN FLOOR BOARD CAUSING HIM TO LOSE BALANCE AND FACE PLANT ONTO THE FLOOR IMPACTING HIS MOUTH. SCA STAFF NOTICED [REDACTED 2] COMFORTING [REDACTED 1] NOTICED HIS LIP WAS BLEEDING AND HE NEEDED TO GO TO IHMS. SCA STAF [REDACTED 3] TOOK [REDACTED 1] OUTSIDE TO THE GAURD POSTED IN RECREATION TENT WHO RADIOED THROUGH TO AREA9 TO ASK THEM TO LOCATE [REDACTED 1]'S PARENTS TO MEET THEM AT THE AREA 9 GATE AS [REDACTED 1] NEEDED MEICAL ASSISTANCE. [REDACTED 1]'S MOTHER ACCOMPANIED [REDACTED 1] TO IHMS."
SCA15.0019,7/1/2015,NO,MINOR,Missing Property,"[REDACTED] WAS INTENT 88 DURING JUNIOR GIRLS CLUB, HE WAS ASKED TO LEAVE MULTIPLE TIMES BY STAFF. HE WAS PLAYING WITH THE LEGO AND PUTTING A TREASURE CHEST TOGETHER AND SAID HE WANTED TO GIVE IT TO HIS SISTER TO PLAY WITH. STAFF SAID HE COULD GO AND GIVE IT TO HER AND TO LEAVE RIGHT AFTERWARDS. [REDACTED] DID SO BUT PROCEEDED TO COME BACK INTO THE TENT - GIVING SOME OF THE LEGO PIECES TO HIS FATHER AND SOME TO HIS SISTER IN FRONT OF SCA STAFF MEMBER. AFTER HE LEFT, STAFF WENT TO RETURN THE LEGO AT THE TABLE WITH HIS FATHER AND SISTER TO THE LEGO CORNER AND DISCOVERED IT MISSING. STAFF ASKED THE FATHER WHERE THE PIECES WERE. STAFF INFORMED HIM THAT THE LEGO WAS FOR ALL TO SHARE AND THAT [REDACTED] WOULD NOT BE WELCOME BACK TO RECREATION PROGRAM UNTIL HE RETURNED THE LEGO. FATHER INFORMED STAFF THAT HE WOULD ASK [REDACTED] TO RETURN THE LEGO"
SCA15.0020,8/1/2015,NO,MINOR,Abusive / Aggressive Behaviour,"ON 8/1/15 AT APPROX 16:55 SCA STAFF [REDACTED 1] AND [REDACTED 2] WITNESSED [REDACTED 3] AND [REDACTED 4] WRESTLING AGGRESSIVELY. SCA STAFF [REDACTED 1] STOOD BETWEEN THE BOYS AND THEY SEPARATED OF THEIR OWN ACCORD. SCA STAFF ESCORTED BOTH BOYS OUT OF THE REC AREA AND CALMED THEM DOWN SEPARATELY. ONCE BOYS WERE CALM (AFTER APPROX 10 MINS) SCA STAFF [REDACTED 1] NOTIFIED WHISKEY. AT THIS STAGE [REDACTED 4] PARENTS AND [REDACTED 3] FATHER ENGAGED IN DISCUSSION ON THE BRIDGE OUTSIDE THE REC TENT. THERE WERE LITTLE SIGNS OF AGGRESSION HERE AND WHISKEY WAS PRESENT. [REDACTED 5] INFORMED SCA STAFF AND WHISKEY THAT [REDACTED 4] HAD IN FACT TOLD [REDACTED 3] IN ARABIC THAT [REDACTED 3] SHOULD THROW ROCKS AT [REDACTED 4] LATER ON. [REDACTED 3] AND HIS FATHER THEN LEFT THE AREA, SCA STAFF FOLLOWED TO SEE EVERYTHING WAS OK. WHILE FOLLOWING [REDACTED 3] AND HIS FATHER SCA [REDACTED 1] WITNESSED [REDACTED 4] ACTION PICKING UP AND THROWING DOWN ROCKS. SCA STAFF [REDACTED 1] APPROACHED [REDACTED 3] TO SEE IF HE WAS OK, [REDACTED 5] SEEMED QUITE ANGRY. THEY WENT HOME."
SCA15.0021,9/1/2015,NO,MAJOR,Self-Harm Threat,"FURTHER TO IR WRITTEN YESTERDAY 8/1/15 IN REGARDS TO ACTUAL SELF-HARM BY [REDACTED 1], I HAVE JUST BEEN INFORMED BY [REDACTED 2] THAT [REDACTED 1] TOLD HER ON 8/1/15 THAT IF HE KILLED HIMSELF, ALL HIS PROBLEMS WOULD BE OVER"
SCA15.0022,9/1/2015,NO,MAJOR,Program Issue,"CM [REDACTED 1] ENGAGED IN CONVERSATION WITH [REDACTED 2] TODAY AT APPROX 13:45 WHILE SHE WAS WAITING TO ATTEND INTERNET SESSION AT RPC3. THROUGHOUT THE COURSE OF THE CONVERSATION, [REDACTED 2] STATED TO CM SHE IS WORRIED ABOUT HER FRIEND [REDACTED 3] STATING [REDACTED 3] HAS NOT EATEN FOR 3 WEEKS AND IS ONLY TAKING WATER. [REDACTED 2] STATED [REDACTED 3] CANNOT GET OUT OF BED. [REDACTED 2] REQUESTED CM NOT TO TELL [REDACTED 3] THAT SHE TOLD CM OF HER CONCERN FOR [REDACTED 3]. CM RETURNED TO THE SCA OFFICE AND INFORMED SCA [REDACTED 4] WHO IS [REDACTED 3] CM AND [REDACTED 5] CASE WORK COORDINATOR FOR CHILDREN AND FAMILIES."
SCA15.0023,9/1/2015,YES,MINOR,Contraband,"ON 9/1/15 I MET WITH [REDACTED 1] OUTSIDE THE CANTEEN IN RPC3 AS PART OF USUAL CASE MANAGEMENT. CM ASKED [REDACTED 1] ABOUT HER RELATIONSHIP WITH HER FATHER, [REDACTED 2] AND RECENT DISCUSSIONS ABOUT HER CONCERN FOR HIS CONTINUED ILLICIT DRUG USE, NAMELY MARIJUANA. [REDACTED 1] STATED SHE DID NOT LIKE THAT HER FATHER AND BROTHER, [REDACTED 3] WERE SMOKING MARIJUANA. [REDACTED 1] STATED SHE HAS DISCUSSED THIS WITH BOTH HER FAMILY MEMBERS, HOWEVER THEY CONTINUE TO USE DRUGS. CM ASKED [REDACTED 1] IF SHE HAD EVER ENGAGED IN ANY DRUG USE, TO WHICH SHE ADAMANTLY DENIED. CM ASKED [REDACTED 1] IF SHE HAD EVER BEEN EXPOSED TO HER FATHER AND BROTHERS DRUG USE. [REDACTED 1] ADMITTED SHE HAD WITNESSED HER FATHER SMOKE MARIJUANA AND UNDER THE INFLUENCE OF DRUGS. [REDACTED 1] STATED THIS MADE HER UPSET AS SHE HELD CONCERNS THAT HER FATHER WOULD BE UNABLE TO DISCONTINUE USE ONCE HE WAS RELEASED FROM THE CENTRE. [REDACTED 1] STATED SHE HAD INFORMED HER FATHER OF THESE CONCERNS, HOWEVER SHE INDICATED HE WAS VERY DISMISSIVE AND REFUSED TO ABSTAIN. NB: RISK RATING AND INCIDENT TYPE CHANGED BY WILSONS"
SCA15.0024,9/1/2015,NO,MINOR,Contraband,WHILE CLEANING UP AFTER SCHOOL OUTSIDE ROOM 201 WE FOUND A BULLET CASING ON THE GROUND UPSTAIRS IN REC1.
SCA15.0025,9/1/2015,NO,MINOR,Abusive / Aggressive Behaviour,"AT APPROX 16:15 TODAY 9/1/15 IN THE RECREATION TENT, [REDACTED 1] AND HIS SON [REDACTED 2] ENTERED THE MIDDLE ROOM OF THE REC TENT. UPON ENTRY [REDACTED 2] RAN STRAIGHT UP TO [REDACTED 3] WHO WAS SITTING DOWN AND UNAWARE AND HIT HIM FROM BEHIND. AT THIS POINT [REDACTED 3] DEFENDED HIMSELF BUT DID NOT THROW PUNCHES. [REDACTED 2] CONTINUED TO PUNCH [REDACTED] SEVERAL TIMES. [REDACTED 2]S FATHER WAS PRESENT AT THE FIGHT AND ATTEMPTED TO PULL [REDACTED 2] BACK, FATHER WAS VISIBLY AGITATED AT [REDACTED 3]. SCA STAFF [REDACTED 4] SEPERATED THE TWO. ONE STAFF [REDACTED 5] NOTIFIED MANAGEMENT WHO APPROACHED WHISKEY AND INFORMED THEM OF THE SITUATION. [REDACTED 1] SHOUTED AT [REDACTED 3] TO LEAVE THE ROOM AS HE BELIEVED HE SHOULD HAVE BEEN BANNED DUE TO PREVIOUS ALTERCATIONS BETWEEN THE TWO BOYS. [REDACTED 1] CONTINUED TO BE VISIBLY DISGRUNTLED HOWEVER STAYED IN THE ROOM AND SAT NEAR HIS SON. THE BOYS WERE KEPT SEPERATED THROUGHOUT THE REST OF THE SESSION AND THERE WERE NO MORE ALTERCATIONS"
SCA15.0026,9/1/2015,NO,MINOR,Theft,"SCA STAFF WERE CONDUCTING A STOCKTAKE OF EQUIPMENT IN THE STORE ROOM AT RPC3 REC TENT. ITEMS MISSING WERE 2 X PROJECTOR, 1 X NINTENDO WII(DONATED) COMPUTER GAME SYSTEM. SENIOR SCA STAFF MEMBER [REDACTED] NOTIFIED MANAGER AND ASKED THE CHILDREN ABOUT THE MISSING EQUIPMENT, CHILDREN REPORTED THEY HAD BEEN IN THE REC TENT UNSUPERVISED AFTER SCA SESSIONS. CHILDREN HAD REPORTED SOMEONE WAS TRYING TO SELL A PROJECTOR FOR CONTRABAND ALTHOUGH THEY COULD NOT IDENTIFY WHO IT WAS. SCA REC TEAM CONFIRMED ITEMS HAD BEEN USED SINCE LAST STOCKTAKE. SENIOR SCA STAFF MEMBER COMPLETED A LOST/STOLEN ITEMS FORM FOR SCA LOGISTICS"
SCA15.0027,10/1/2015,NO,MINOR,Non-complaint,SCA REC STAFF WERE SETTING UP FOR THE AFTERNOON PROGRAM WHEN SCA STAFF [REDACTED 1] CALLED ME TO THE STOREROOM AND ASKED IF I HAD SET UP THE ROOM. [REDACTED 1] SHOWED ME A TV WITH A PLATSTATION 3 RUNNING AND A FAN TURNED ON INSIDE THE LOCKED STOREROOM. SOMEONE HAD BROCKEN IN AND USED THE EQUIPMENT. STAFF DID NOT HAVE A PHONE TO NOTIFY MANAGEMENT. I [REDACTED 2] WALKED UP TO THE RPC2 MAIN ADMIN TENT AND COMPLETED AN IR REPORT
SCA15.0028,10/1/2015,YES,MINOR,Contraband,"WHILE WALKING THROUGH AREA 1 RPC3 I ENGAGED IN CASE WORK WITH AN A/S FAMILY, I OBSERVED ANOTHER ADULT FEMALE A/S WITH WHAT APPEARED TO BE KNITTING NEEDLES FASHIONED FROM WIRE. THE WIRE APPESRED TO BE OF SIMILAR SIZE TO THAT ON THE TEMPORARY FENCES AROUND THE RPC. THE WIRE KNITTING NEEDLES WERE APPROX 25-30 CM LONG. NB: INCIDENT TYPE CHANGED BY WILSON'S"
